Owner;Author's Last Name;Author's Name;Series;Order;Genre;Title;ISBN;Language;Type;Authors (other);Notes;Publisher;Ano;Original Language;Edição;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;8;Sci-fi;Delphi Colony;_9798687324915;English;Paperback;;;Delphi Publishing;2020;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;9;Sci-fi;Delphi Challenge;_9788591118457;English;Paperback;;;Delphi Publishing;2019;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;10;Sci-fi;Delphi League;_9798729330539;English;Paperback;;;Delphi Publishing;2019;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;11;Sci-fi;Delphi Embassy;_9798525145900;English;Paperback;;;Delphi Publishing;2019;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;12;Sci-fi;Delphi Diversion;_9798483941644;English;Paperback;;;Delphi Publishing;2020;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;13;Sci-fi;Delphi Forge;_9798787388732;English;Paperback;;;Delphi Publishing;2019;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;14;Sci-fi;Delphi Envoy;_9798802557440;English;Paperback;;;Delphi Publishing;2022;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;15;Sci-fi;Delphi Diplomacy;_9798841626220;English;Paperback;;;Delphi Publishing;2022;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;16;Sci-fi;Delphi Castways;_9798373094016;English;Paperback;;;Delphi Publishing;2022;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;17;Sci-fi;Delphi Mediation;_9798850054847;English;Paperback;;;Delphi Publishing;2023;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;18;Sci-fi;Delphi Crossroads;_9798335108676;English;Paperback;;;Delphi Publishing;2024;;;;;;;;;;;;;;
Sérgio Lopes;Blaylock;James P.;A Tale of Langdon St. Ives;;Steampuck;The Aylesford Skull;_9780857689795;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Blyton;Enid;;;;Os Cinco e a Ciganita;;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Blyton;Enid;;;;Os Cinco no Lago Negro;;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Blyton;Enid;;;;Os Cinco na Casa em Ruínas;;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Blyton;Enid;;;;Os Cinco e a Torre do Sábio;_9789897415210;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Blyton;Enid;;;;Os Cinco na Torre do Farol;;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Blyton;Enid;;;;Os Cinco Na Ilha dos Murmúrios;;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Blyton;Enid;;;;Os Cinco Voltam à Ilha;;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Miguel Grilo;Bonilla;Rocio;;;;A Montanha de Livros Mais Alta do Mundo;_9789898895196;Portuguese;Hardcover;;Ler+ Plano Nacional e Leitura;Jacarandá;2024;Spanish;;;;;;;;;;;;;
Sérgio Lopes;Bowden;Oliver;Assassin's Creed;;;Irmandade;_9789896373405;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bowden;Oliver;Assassin's Creed;;;Cruzada Secreta;_9789896373832;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bowden;Oliver;Assassin's Creed;;;Bandeira Negra;_9789896376703;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bowden;Oliver;Assassin's Creed;;;Revelações;_9789896374310;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bowden;Oliver;Assassin's Creed;;;Renascença;_9789896372309;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brennan;Herbie;A Guerra das Fadas;4;;O Destino das Fadas;_9789892310787;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brennan;Herbie;A Guerra das Fadas;3;;O Senhor do Reino;_9789892306384;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brennan;Herbie;A Guerra das Fadas;2;;O Imperador Púrpura;_9789892302607;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brennan;Herbie;A Guerra das Fadas;1;;A Guerra das Fadas;_9789724152912;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brett;Petter V.;Ciclo dos Demónios;1;;O Homem Pintado;_9789895576677;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brett;Petter V.;Ciclo dos Demónios;2;;A Lança  do Deserto;_9789895577156;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brett;Petter V.;Ciclo dos Demónios;3;;A Guerra Diurna;_9789892324494;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brett;Petter V.;;;;O Grande Bazar e outras histórias;_9789892331362;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brett;Petter V.;;;;O Trono dos Crânios;_9789892334516;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brett;Petter V.;;;;O Núcleo;_9789892342214;Portuguese;Paperback;;;;;English;;;;;;;;;;;;;
Sérgio Lopes;Brett;Petter V.;;;;O Príncipe do Deserto;_9789892355122;Portuguese;Paperback;;;ASA II;2022;English;1;;;;;;;;;;;;
Miguel Grilo;Bright;Rachel;;;Children's Books;O Lobo Que Encontrou a Amizade;_9789722365567;Portuguese;Hardcover;Field, Jim;;;;;;;;;;;;;;;;;
Miguel Grilo;Bright;Rachel;;;Children's Books;Os Pandas Que Prometeram;_9789722372466;Portuguese;Hardcover;Field, Jim;;Presença;2023;English;3;;;;;;;;;;;;
Sérgio Lopes;Briggs;Patricia;;;;Vínculo de Sangue;_9789896373009;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Broadbent;Carissa;;;;A Serpente e as Asas da Noite;_9789897247170;Portuguese;Paperback;;;Clube do Autor;2024;English;;;;;;;;;;;;;
Sérgio Lopes;Brooks;Terry;The Shannara Chronicles;;;The Elfstones of Shannara;_9781101886052;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Brown;Sandra;;;;Blind Tiger;_9781538751978;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bryson;Philip;;;;Miserável Mundo Novo;_9789897843426;Portuguese;Paperback;;;Penguin Random House;2023;English;;;;;;;;;;;;;
Sérgio Lopes;Callender;Kacen;;;;Infinity Alchemist;_9780571383832;English;Paperback;;;Faber & Faber Ltd;2024;;;;;;;;;;;;;;
Sérgio Lopes;Camões;Luís de;;;;Os Lusíadas;_9725680006350728;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Campbell;Ramsey;;;;Solomon Kane;_9781848567269;English;Paperback;;;Titan Books;2010;;1;;;;;;;;;;;;
Sérgio Lopes;Card;Orson Scott;Ender;1;;Ender's Game;_9780356500843;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Card;Orson Scott;Ender;2;;Speaker for the Dead;_9780356501857;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Card;Orson Scott;Ender;3;;Xenocide;_9780356501864;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Card;Orson Scott;Ender;4;;Children of the Mind;_9780356501871;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Card;Orson Scott;;;;Ender in Exile;_9781841492278;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Carew;Leo;;;;The Wolf;_9781472247025;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Carvalho;Nuno;;;;As Cicatrizes do Tempo;_9789897735837;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Carvalho;Sandra;Crónicas da Terra e do Mar;1;;O Olhar do Açor;_9789722353212;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Carvalho;Sandra;A Saga das Pedras Mágicas;;;A Última Feiticeira;_9789722333450;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Carré;John le;;;;A Legacy of Spies;;;;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Caseiro;Natália;;;;Os Devoradores de Livros;_9728393172;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Chainani;Soman;The School for Good and Evil;1;;Rise of the School for Good and Evil;_9780008508029;English;Paperback;;;HarperCollins Publishing;2022;;;;;;;;;;;;;;
Sérgio Lopes;Cheek;John B.;;;;Bragg For Hire;_9781735213514;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Child;Lee;Jack Reacher;27;;No Plan B;_9781984818546;English;Hardcover;Child, Andrew;;Delacorte Press - Random House;2022;;;;;;;;;;;;;;
Sérgio Lopes;Child;Lee;Jack Reacher;;;Reacher: Bad Luck and Trouble;_9780593725498;English;Paperback;;;Random House Books;2023;;;;;;;;;;;;;;
Sérgio Lopes;Christopher;John;;;;Return to Earth;_9780194216838;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Christie;Agatha;;;;Um Crime No Expresso do Oriente;_9789892340692;;;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;1;Manga;Solo Leveling;_9789722369848;Portuguese;Paperback;Dubu;;Presença;;Japanese;;;;;;;;;;;;;
